5, 0.724
6, 0.008
7, 0.007
8, 0.01
9, 0.008
10, 0.011
11, 0.01
12, 0.012
13, 0.014
14, 0.012
15, 0.015
16, 0.012
17, 0.011
18, 0.014
19, 0.014
20, 0.017
30, 0.051
40, 0.052
50, 0.075
100, 0.498
150, 1.065
200, 3.519
300, 9.121
400, 17.805
500, 32.558
600, 57.213
700, 86.769
800, 121.964
900, 172.4
1000, 239.563
1500, 796.917
2000, 2012.01
